Station_ID,Station_Name,Station_Category,lat0,lon0,fE,fN,k0,h0,H0,Undulation,ppm_Max,ppm_Range,ppm_avg,ppm_StdDev
VA_0001,Aachen Hbf,2,50.7692,6.0916,5000,10000,1.0000285,181.9,182.1,46.3,-2.9,4.7,-0.2,1.1
VA_0002,Aachen-Rothe Erde,4,50.7712,6.1166,5000,10000,1.0000289,184.4,184.5,46.4,,,,
VA_0003,Aachen West,5,50.7812,6.0716,5000,10000,1.0000299,190.8,191.0,46.3,,,,
VA_0004,Aalen Hbf,3,48.8420,10.0972,5000,10000,1.0000669,426.8,430.5,48.0,-3.3,4.2,-0.2,0.9
VA_0005,Abensberg,6,48.8200,11.8484,5000,10000,1.0000571,364.6,370.2,46.0,,,,
VA_0006,Achern,4,48.6350,8.0659,5000,10000,1.0000222,141.4,144.6,48.5,,,,
VA_0007,Achim,4,53.0175,9.0311,5000,10000,1.0000030,19.0,19.9,40.7,,,,
VA_0008,Achmer,6,52.3914,7.9429,5000,10000,1.0000081,51.4,50.9,43.7,,,,
VA_0010,Adamsdorf,-1,53.4115,13.0477,5000,10000,1.0000124,79.0,80.7,38.6,,,,
VA_0011,Adelebsen,6,51.5793,9.7612,5000,10000,1.0000278,177.3,177.3,45.6,,,,
VA_0012,Adelschlag,6,48.8420,11.2123,5000,10000,1.0000686,437.6,442.5,46.7,,,,
VA_0013,Adelsdorf (Mittelfr),6,49.4761,10.6883,5000,10000,1.0000526,335.7,338.8,47.3,,,,
VA_0014,Adelsheim Nord,6,49.4221,9.3941,5000,10000,1.0000362,231.0,232.9,48.5,,,,
VA_0015,Adelsheim Ost,6,49.4041,9.3961,5000,10000,1.0000362,230.7,232.7,48.5,,,,
VA_0016,Adorf (Erzgeb),-1,50.7652,12.8756,5000,10000,1.0000537,342.6,344.6,45.2,,,,
VA_0017,Adorf (Vogtl),6,50.3252,12.2625,5000,10000,1.0000693,442.3,444.1,46.7,,,,
VA_0018,Affaltrach,6,49.1390,9.3801,5000,10000,1.0000340,217.2,219.7,48.5,,,,
VA_0019,Agatharied,6,47.7669,11.8254,5000,10000,1.0001124,716.9,724.0,46.4,,,,
VA_0020,Agathenburg,6,53.5655,9.5322,5000,10000,1.0000011,7.1,7.4,39.9,,,,
VA_0021,Aha,6,47.8339,8.1349,5000,10000,1.0001466,935.2,938.4,50.0,,,,
VA_0022,Ahaus,5,52.0834,7.0168,5000,10000,1.0000081,51.6,51.4,43.8,,,,
VA_0023,Ahlen (Westf),4,51.7623,7.8959,5000,10000,1.0000133,85.1,84.9,45.0,,,,
VA_0024,Ahlhorn,6,52.9005,8.2099,5000,10000,1.0000073,46.9,47.3,41.4,,,,
VA_0025,Ahlten (Han),5,52.3774,9.9062,5000,10000,1.0000093,59.4,60.2,42.7,,,,
VA_0027,Ahrensburg,4,53.6706,10.2373,5000,10000,1.0000073,46.5,46.6,39.8,,,,
VA_0028,Ahrensfelde,4,52.5724,13.5678,5000,10000,1.0000092,58.8,62.4,38.9,,,,
VA_0029,Ahrensfelde Friedhof,6,52.5824,13.5748,5000,10000,1.0000085,54.0,57.5,38.9,,,,
VA_0030,Ahrensfelde Nord,6,52.5924,13.5838,5000,10000,1.0000094,60.0,63.6,38.9,,,,
VA_0031,Ahrweiler,6,50.5482,7.1078,5000,10000,1.0000176,112.6,112.5,47.6,,,,
VA_0032,Ahrweiler Markt,6,50.5452,7.0948,5000,10000,1.0000173,110.4,110.3,47.6,,,,
VA_0033,Aich (Niederbay),-4,48.4179,12.3995,5000,10000,1.0000726,463.4,470.4,45.3,,,,
VA_0034,Aichach,5,48.4620,11.1243,5000,10000,1.0000687,438.4,444.4,46.3,,,,
VA_0035,Aichstetten,6,47.8889,10.0762,5000,10000,1.0000968,617.7,624.1,47.0,,,,
VA_0036,Ainring,6,47.8159,12.9666,5000,10000,1.0000660,421.0,428.7,45.4,,,,
VA_0038,Aken (Elbe),-1,51.8543,12.0375,5000,10000,1.0000085,54.1,55.4,43.4,,,,
VA_0039,Muenster-Albachten,6,51.9164,7.5288,5000,10000,1.0000102,65.2,65.2,44.3,,,,
VA_0040,Albbruck,6,47.5929,8.1329,5000,10000,1.0000501,319.7,324.4,48.8,,,,
VA_0041,Albersdorf,7,54.1476,9.2931,5000,10000,1.0000066,42.3,41.0,39.7,,,,
VA_0042,Albersweiler (Pfalz),6,49.2191,8.0249,5000,10000,1.0000283,180.6,183.0,48.2,,,,
VA_0044,Albig,6,49.7721,8.1179,5000,10000,1.0000285,181.8,183.0,48.2,,,,
VA_0045,Albrechtshof,5,52.5504,13.1307,5000,10000,1.0000046,29.6,32.7,39.6,,,,
VA_0046,Albshausen,6,50.5472,8.4360,5000,10000,1.0000232,147.9,147.6,48.2,,,,
VA_0047,Albstadt-Ebingen,5,48.2109,9.0280,5000,10000,1.0001123,716.5,720.2,49.0,,,,
VA_0049,Albstadt-Laufen Ort,7,48.2239,8.9180,5000,10000,1.0000972,619.8,623.4,49.1,,,,
VA_0050,Albstadt-Lautlingen,6,48.2149,8.9560,5000,10000,1.0001073,684.4,687.9,49.1,,,,
VA_0051,Aldekerk,6,51.4373,6.4137,5000,10000,1.0000054,34.6,34.8,44.9,,,,
